書名	総合評価	戦法	著者	発行年月	難易度
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6880-9.htm"",""マイナビ将棋BOOKS 矢倉の新常識"")"	A	四間飛車, 居飛車, 中飛車		2019年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6853-3.htm"",""マイナビ将棋BOOKS 将棋 平成新手白書 【居飛車編】 将棋は30年でどうかわったか？"")"	A	中飛車, 居飛車, 角換わり, 横歩取り, 振り飛車		2019年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-5193-1.htm"",""マイナビ将棋BOOKS 対振り革命 中飛車左穴熊"")"	S	四間飛車, 中飛車, 居飛車, 三間飛車, 振り飛車		2014年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6873-1.htm"",""マイナビ将棋BOOKS 藤森式 青野流 絶対退かない横歩取り"")"	A	居飛車, 角換わり, 横歩取り		2019年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6526-6.htm"",""マイナビ将棋BOOKS 振り飛車最前線 対中飛車 角道不突き左美濃"")"	B	居飛車, 中飛車, 振り飛車		2018年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/07/978-4-07-431786-8.htm"",""初心者が初段になるための将棋学習法"")"	A	四間飛車, 中飛車, 居飛車, 角換わり, 振り飛車		978-4-07-431786-8	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6813-7.htm"",""マイナビ将棋BOOKS 必勝 三間飛車破り"")"	B	四間飛車, 中飛車, 居飛車, 三間飛車, 振り飛車		2019年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6839-7.htm"",""マイナビ将棋BOOKS 戸辺流 こだわりのゴキゲン中飛車"")"	A	居飛車, 振り飛車, 中飛車		2019年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6811-3.htm"",""マイナビ将棋BOOKS 将棋・勝利の方程式 必至の極意"")"	A			2019年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6171-8.htm"",""マイナビ将棋BOOKS 矢倉の基本 駒組みと考え方"")"	A	四間飛車, 振り飛車, 居飛車, 中飛車		2017年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6588-4.htm"",""マイナビ将棋BOOKS コンピュータ発！現代将棋新定跡"")"	A	角換わり, 振り飛車, 居飛車		2018年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-5099-6.htm"",""マイナビ将棋BOOKS これからの相振り飛車"")"	A	四間飛車, 振り飛車, 三間飛車		2014年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/594/978-4-594-08126-3.htm"",""扶桑社新書 将棋「初段になれるかな」会議"")"	A	四間飛車, 中飛車, 居飛車, 角換わり, 振り飛車		2018年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6797-0.htm"",""マイナビ将棋BOOKS 神速！角換わり▲2五歩型 必勝ガイド"")"	A	角換わり, 居飛車, 横歩取り		978-4-8399-6797-0	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6800-7.htm"",""マイナビ将棋BOOKS 攻めて勝つ！三間飛車の心得"")"	B	四間飛車, 振り飛車, 居飛車, 三間飛車		2018年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6768-0.htm"",""マイナビ将棋BOOKS 自由自在！中飛車の新常識"")"	B	四間飛車, 中飛車, 居飛車, 三間飛車, 振り飛車		2018年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6770-3.htm"",""マイナビ将棋BOOKS 先崎学＆中村太地 この名局を見よ！ 21世紀編"")"	A	四間飛車, 中飛車, 居飛車, 角換わり, 横歩取り, 三間飛車, 振り飛車		2018年11月	
